"As Of Date","Time Series","Value (millions)"
"2023-01-11","PDPOSTIPS-G6L11","1260"
"2023-01-11","PDPOSTIPS-L2","6352"
"2023-01-18","PDPOSTIPS-G11","-464"
"2023-01-18","PDPOSTIPS-G2","7765"
"2023-01-18","PDPOSTIPS-G6L11","2422"
"2023-01-18","PDPOSTIPS-L2","4851"
"2023-01-25","PDPOSTIPS-G11","-550"
"2023-01-25","PDPOSTIPS-G2","7446"
"2023-01-25","PDPOSTIPS-G6L11","2472"
"2023-01-25","PDPOSTIPS-L2","4177"
"2023-02-01","PDPOSTIPS-G11","213"
"2023-02-01","PDPOSTIPS-G2","4020"
"2023-02-01","PDPOSTIPS-G6L11","808"
"2023-02-01","PDPOSTIPS-L2","9713"
"2023-02-08","PDPOSTIPS-G11","-147"
"2023-02-08","PDPOSTIPS-G2","1958"
"2023-02-08","PDPOSTIPS-G6L11","2506"
"2023-02-08","PDPOSTIPS-L2","8437"
"2023-02-15","PDPOSTIPS-G11","-377"
"2023-02-15","PDPOSTIPS-G2","2574"
"2023-02-15","PDPOSTIPS-G6L11","2537"
"2023-02-15","PDPOSTIPS-L2","10556"
"2023-02-22","PDPOSTIPS-G11","165"
"2023-02-22","PDPOSTIPS-G2","4546"
"2023-02-22","PDPOSTIPS-G6L11","2209"
"2023-02-22","PDPOSTIPS-L2","8212"
"2023-03-01","PDPOSTIPS-G11","-62"
"2023-03-01","PDPOSTIPS-G2","5986"
"2023-03-01","PDPOSTIPS-G6L11","1320"
"2023-03-01","PDPOSTIPS-L2","8971"
"2023-03-08","PDPOSTIPS-G11","341"
"2023-03-08","PDPOSTIPS-G2","8132"
"2023-03-08","PDPOSTIPS-G6L11","766"
"2023-03-08","PDPOSTIPS-L2","8946"
"2023-03-15","PDPOSTIPS-G11","530"
"2023-03-15","PDPOSTIPS-G2","6485"
"2023-03-15","PDPOSTIPS-G6L11","1348"
"2023-03-15","PDPOSTIPS-L2","11320"
"2023-03-22","PDPOSTIPS-G11","289"
"2023-03-22","PDPOSTIPS-G2","6571"
"2023-03-22","PDPOSTIPS-G6L11","1328"
"2023-03-22","PDPOSTIPS-L2","10752"
"2023-03-29","PDPOSTIPS-G11","310"
"2023-03-29","PDPOSTIPS-G2","6823"
"2023-03-29","PDPOSTIPS-G6L11","1511"
"2023-03-29","PDPOSTIPS-L2","10852"
"2023-04-05","PDPOSTIPS-G11","667"
"2023-04-05","PDPOSTIPS-G2","7630"
"2023-04-05","PDPOSTIPS-G6L11","1215"
"2023-04-05","PDPOSTIPS-L2","12827"
"2023-04-12","PDPOSTIPS-G11","290"
"2023-04-12","PDPOSTIPS-G2","7433"
"2023-04-12","PDPOSTIPS-G6L11","570"
"2023-04-12","PDPOSTIPS-L2","11397"
"2023-04-19","PDPOSTIPS-G11","361"
"2023-04-19","PDPOSTIPS-G2","11025"
"2023-04-19","PDPOSTIPS-G6L11","-427"
"2023-04-19","PDPOSTIPS-L2","7609"
"2023-04-26","PDPOSTIPS-G11","267"
"2023-04-26","PDPOSTIPS-G2","11776"
"2023-04-26","PDPOSTIPS-G6L11","3"
"2023-04-26","PDPOSTIPS-L2","7689"
"2023-05-03","PDPOSTIPS-G11","768"
"2023-05-03","PDPOSTIPS-G2","9957"
"2023-05-03","PDPOSTIPS-G6L11","-786"
"2023-05-03","PDPOSTIPS-L2","8929"
"2023-05-10","PDPOSTIPS-G11","792"
"2023-05-10","PDPOSTIPS-G2","10042"
"2023-05-10","PDPOSTIPS-G6L11","-1713"
"2023-05-10","PDPOSTIPS-L2","8522"
"2023-05-17","PDPOSTIPS-G11","411"
"2023-05-17","PDPOSTIPS-G2","10588"
"2023-05-17","PDPOSTIPS-G6L11","-1118"
"2023-05-17","PDPOSTIPS-L2","8521"
"2023-05-24","PDPOSTIPS-G11","356"
"2023-05-24","PDPOSTIPS-G2","12861"
"2023-05-24","PDPOSTIPS-G6L11","-264"
"2023-05-24","PDPOSTIPS-L2","8182"
"2023-05-31","PDPOSTIPS-G11","855"
"2023-05-31","PDPOSTIPS-G2","13053"
"2023-05-31","PDPOSTIPS-G6L11","-807"
"2023-05-31","PDPOSTIPS-L2","8680"
"2023-06-07","PDPOSTIPS-G11","585"
"2023-06-07","PDPOSTIPS-G2","13229"
"2023-06-07","PDPOSTIPS-G6L11","-312"
"2023-06-07","PDPOSTIPS-L2","7382"
"2023-06-14","PDPOSTIPS-G11","583"
"2023-06-14","PDPOSTIPS-G2","12100"
"2023-06-14","PDPOSTIPS-G6L11","-401"
"2023-06-14","PDPOSTIPS-L2","6519"
"2023-06-21","PDPOSTIPS-G11","323"
"2023-06-21","PDPOSTIPS-G2","13418"
"2023-06-21","PDPOSTIPS-G6L11","472"
"2023-06-21","PDPOSTIPS-L2","5366"
"2023-06-28","PDPOSTIPS-G11","235"
"2023-06-28","PDPOSTIPS-G2","13363"
"2023-06-28","PDPOSTIPS-G6L11","1349"
"2023-06-28","PDPOSTIPS-L2","4228"
"2023-07-05","PDPOSTIPS-G11","445"
"2023-07-05","PDPOSTIPS-G2","12022"
"2023-07-05","PDPOSTIPS-G6L11","1424"
"2023-07-05","PDPOSTIPS-L2","4065"
"2023-07-12","PDPOSTIPS-G11","598"
"2023-07-12","PDPOSTIPS-G2","11563"
"2023-07-12","PDPOSTIPS-G6L11","272"
"2023-07-12","PDPOSTIPS-L2","5352"
"2023-07-19","PDPOSTIPS-G11","606"
"2023-07-19","PDPOSTIPS-G2","8879"
"2023-07-19","PDPOSTIPS-G6L11","626"
"2023-07-19","PDPOSTIPS-L2","3967"
"2023-07-26","PDPOSTIPS-G11","345"
"2023-07-26","PDPOSTIPS-G2","9879"
"2023-07-26","PDPOSTIPS-G6L11","1066"
"2023-07-26","PDPOSTIPS-L2","3807"
"2023-08-02","PDPOSTIPS-G11","-106"
"2023-08-02","PDPOSTIPS-G2","6062"
"2023-08-02","PDPOSTIPS-G6L11","2024"
"2023-08-02","PDPOSTIPS-L2","5877"
"2023-08-09","PDPOSTIPS-G11","218"
"2023-08-09","PDPOSTIPS-G2","6242"
"2023-08-09","PDPOSTIPS-G6L11","2414"
"2023-08-09","PDPOSTIPS-L2","5509"
"2023-08-16","PDPOSTIPS-G11","341"
"2023-08-16","PDPOSTIPS-G2","5197"
"2023-08-16","PDPOSTIPS-G6L11","3314"
"2023-08-16","PDPOSTIPS-L2","5468"
"2023-08-23","PDPOSTIPS-G11","292"
"2023-08-23","PDPOSTIPS-G2","4923"
"2023-08-23","PDPOSTIPS-G6L11","2978"
"2023-08-23","PDPOSTIPS-L2","6014"
"2023-08-30","PDPOSTIPS-G11","346"
"2023-08-30","PDPOSTIPS-G2","4332"
"2023-08-30","PDPOSTIPS-G6L11","3385"
"2023-08-30","PDPOSTIPS-L2","5627"
"2023-09-06","PDPOSTIPS-G11","136"
"2023-09-06","PDPOSTIPS-G2","3420"
"2023-09-06","PDPOSTIPS-G6L11","4059"
"2023-09-06","PDPOSTIPS-L2","5066"
"2023-09-13","PDPOSTIPS-G11","70"
"2023-09-13","PDPOSTIPS-G2","4200"
"2023-09-13","PDPOSTIPS-G6L11","3784"
"2023-09-13","PDPOSTIPS-L2","4814"
"2023-09-20","PDPOSTIPS-G11","-64"
"2023-09-20","PDPOSTIPS-G2","5478"
"2023-09-20","PDPOSTIPS-G6L11","3507"
"2023-09-20","PDPOSTIPS-L2","4431"
"2023-09-27","PDPOSTIPS-G11","-45"
"2023-09-27","PDPOSTIPS-G2","4230"
"2023-09-27","PDPOSTIPS-G6L11","4148"
"2023-09-27","PDPOSTIPS-L2","5429"
"2023-10-04","PDPOSTIPS-G11","307"
"2023-10-04","PDPOSTIPS-G2","5979"
"2023-10-04","PDPOSTIPS-G6L11","2935"
"2023-10-04","PDPOSTIPS-L2","5984"
"2023-10-11","PDPOSTIPS-G11","472"
"2023-10-11","PDPOSTIPS-G2","6574"
