"As Of Date","Time Series","Value (millions)"
"2017-08-23","PDPOSTIPS-L2","2564"
"2017-08-30","PDPOSTIPS-G11","1485"
"2017-08-30","PDPOSTIPS-G2","3119"
"2017-08-30","PDPOSTIPS-G6L11","575"
"2017-08-30","PDPOSTIPS-L2","3506"
"2017-09-06","PDPOSTIPS-G11","1647"
"2017-09-06","PDPOSTIPS-G2","2178"
"2017-09-06","PDPOSTIPS-G6L11","1120"
"2017-09-06","PDPOSTIPS-L2","3212"
"2017-09-13","PDPOSTIPS-G11","2051"
"2017-09-13","PDPOSTIPS-G2","491"
"2017-09-13","PDPOSTIPS-G6L11","1650"
"2017-09-13","PDPOSTIPS-L2","3247"
"2017-09-20","PDPOSTIPS-G11","1588"
"2017-09-20","PDPOSTIPS-G2","295"
"2017-09-20","PDPOSTIPS-G6L11","792"
"2017-09-20","PDPOSTIPS-L2","4694"
"2017-09-27","PDPOSTIPS-G11","1231"
"2017-09-27","PDPOSTIPS-G2","1438"
"2017-09-27","PDPOSTIPS-G6L11","1551"
"2017-09-27","PDPOSTIPS-L2","4688"
"2017-10-04","PDPOSTIPS-G11","1032"
"2017-10-04","PDPOSTIPS-G2","635"
"2017-10-04","PDPOSTIPS-G6L11","2012"
"2017-10-04","PDPOSTIPS-L2","4096"
"2017-10-11","PDPOSTIPS-G11","1409"
"2017-10-11","PDPOSTIPS-G2","658"
"2017-10-11","PDPOSTIPS-G6L11","2139"
"2017-10-11","PDPOSTIPS-L2","4437"
"2017-10-18","PDPOSTIPS-G11","1531"
"2017-10-18","PDPOSTIPS-G2","-393"
"2017-10-18","PDPOSTIPS-G6L11","2116"
"2017-10-18","PDPOSTIPS-L2","5079"
"2017-10-25","PDPOSTIPS-G11","1836"
"2017-10-25","PDPOSTIPS-G2","316"
"2017-10-25","PDPOSTIPS-G6L11","1515"
"2017-10-25","PDPOSTIPS-L2","3799"
"2017-11-01","PDPOSTIPS-G11","1155"
"2017-11-01","PDPOSTIPS-G2","707"
"2017-11-01","PDPOSTIPS-G6L11","2063"
"2017-11-01","PDPOSTIPS-L2","4835"
"2017-11-08","PDPOSTIPS-G11","759"
"2017-11-08","PDPOSTIPS-G2","-498"
"2017-11-08","PDPOSTIPS-G6L11","3016"
"2017-11-08","PDPOSTIPS-L2","6026"
"2017-11-15","PDPOSTIPS-G11","1106"
"2017-11-15","PDPOSTIPS-G2","-921"
"2017-11-15","PDPOSTIPS-G6L11","2416"
"2017-11-15","PDPOSTIPS-L2","5812"
"2017-11-22","PDPOSTIPS-G11","493"
"2017-11-22","PDPOSTIPS-G2","19"
"2017-11-22","PDPOSTIPS-G6L11","5456"
"2017-11-22","PDPOSTIPS-L2","3439"
"2017-11-29","PDPOSTIPS-G11","516"
"2017-11-29","PDPOSTIPS-G2","275"
"2017-11-29","PDPOSTIPS-G6L11","5041"
"2017-11-29","PDPOSTIPS-L2","3465"
"2017-12-06","PDPOSTIPS-G11","933"
"2017-12-06","PDPOSTIPS-G2","340"
"2017-12-06","PDPOSTIPS-G6L11","3746"
"2017-12-06","PDPOSTIPS-L2","3148"
"2017-12-13","PDPOSTIPS-G11","740"
"2017-12-13","PDPOSTIPS-G2","1107"
"2017-12-13","PDPOSTIPS-G6L11","3889"
"2017-12-13","PDPOSTIPS-L2","2255"
"2017-12-20","PDPOSTIPS-G11","-50"
"2017-12-20","PDPOSTIPS-G2","1963"
"2017-12-20","PDPOSTIPS-G6L11","4515"
"2017-12-20","PDPOSTIPS-L2","1510"
"2017-12-27","PDPOSTIPS-G11","-9"
"2017-12-27","PDPOSTIPS-G2","3113"
"2017-12-27","PDPOSTIPS-G6L11","4544"
"2017-12-27","PDPOSTIPS-L2","1204"
"2018-01-03","PDPOSTIPS-G11","47"
"2018-01-03","PDPOSTIPS-G2","3374"
"2018-01-03","PDPOSTIPS-G6L11","4947"
"2018-01-03","PDPOSTIPS-L2","748"
"2018-01-10","PDPOSTIPS-G11","369"
"2018-01-10","PDPOSTIPS-G2","4040"
"2018-01-10","PDPOSTIPS-G6L11","3719"
"2018-01-10","PDPOSTIPS-L2","1121"
"2018-01-17","PDPOSTIPS-G11","119"
"2018-01-17","PDPOSTIPS-G2","5983"
"2018-01-17","PDPOSTIPS-G6L11","2393"
"2018-01-17","PDPOSTIPS-L2","2990"
"2018-01-24","PDPOSTIPS-G11","-170"
"2018-01-24","PDPOSTIPS-G2","5902"
"2018-01-24","PDPOSTIPS-G6L11","3382"
"2018-01-24","PDPOSTIPS-L2","3441"
"2018-01-31","PDPOSTIPS-G11","-200"
"2018-01-31","PDPOSTIPS-G2","4262"
"2018-01-31","PDPOSTIPS-G6L11","-108"
"2018-01-31","PDPOSTIPS-L2","6638"
"2018-02-07","PDPOSTIPS-G11","-96"
"2018-02-07","PDPOSTIPS-G2","4724"
"2018-02-07","PDPOSTIPS-G6L11","-27"
"2018-02-07","PDPOSTIPS-L2","5660"
"2018-02-14","PDPOSTIPS-G11","-103"
"2018-02-14","PDPOSTIPS-G2","4453"
"2018-02-14","PDPOSTIPS-G6L11","625"
"2018-02-14","PDPOSTIPS-L2","4627"
"2018-02-21","PDPOSTIPS-G11","296"
"2018-02-21","PDPOSTIPS-G2","5713"
"2018-02-21","PDPOSTIPS-G6L11","1692"
"2018-02-21","PDPOSTIPS-L2","3767"
"2018-02-28","PDPOSTIPS-G11","59"
"2018-02-28","PDPOSTIPS-G2","5019"
"2018-02-28","PDPOSTIPS-G6L11","326"
"2018-02-28","PDPOSTIPS-L2","3912"
"2018-03-07","PDPOSTIPS-G11","912"
"2018-03-07","PDPOSTIPS-G2","5606"
"2018-03-07","PDPOSTIPS-G6L11","-604"
"2018-03-07","PDPOSTIPS-L2","3616"
"2018-03-14","PDPOSTIPS-G11","651"
"2018-03-14","PDPOSTIPS-G2","5213"
"2018-03-14","PDPOSTIPS-G6L11","175"
"2018-03-14","PDPOSTIPS-L2","2967"
"2018-03-21","PDPOSTIPS-G11","704"
"2018-03-21","PDPOSTIPS-G2","4786"
"2018-03-21","PDPOSTIPS-G6L11","245"
"2018-03-21","PDPOSTIPS-L2","1687"
"2018-03-28","PDPOSTIPS-G11","703"
"2018-03-28","PDPOSTIPS-G2","4456"
"2018-03-28","PDPOSTIPS-G6L11","2427"
"2018-03-28","PDPOSTIPS-L2","1549"
"2018-04-04","PDPOSTIPS-G11","857"
"2018-04-04","PDPOSTIPS-G2","4660"
"2018-04-04","PDPOSTIPS-G6L11","1152"
"2018-04-04","PDPOSTIPS-L2","2018"
"2018-04-11","PDPOSTIPS-G11","1107"
"2018-04-11","PDPOSTIPS-G2","4555"
"2018-04-11","PDPOSTIPS-G6L11","404"
"2018-04-11","PDPOSTIPS-L2","1359"
"2018-04-18","PDPOSTIPS-G11","782"
"2018-04-18","PDPOSTIPS-G2","4588"
"2018-04-18","PDPOSTIPS-G6L11","643"
"2018-04-18","PDPOSTIPS-L2","1013"
"2018-04-25","PDPOSTIPS-G11","801"
"2018-04-25","PDPOSTIPS-G2","5488"
"2018-04-25","PDPOSTIPS-G6L11","1743"
"2018-04-25","PDPOSTIPS-L2","1546"
"2018-05-02","PDPOSTIPS-G11","-24"
"2018-05-02","PDPOSTIPS-G2","3272"
"2018-05-02","PDPOSTIPS-G6L11","4"
"2018-05-02","PDPOSTIPS-L2","6069"
"2018-05-09","PDPOSTIPS-G11","99"
"2018-05-09","PDPOSTIPS-G2","3676"
"2018-05-09","PDPOSTIPS-G6L11","386"
"2018-05-09","PDPOSTIPS-L2","6037"
"2018-05-16","PDPOSTIPS-G11","549"
"2018-05-16","PDPOSTIPS-G2","2573"
"2018-05-16","PDPOSTIPS-G6L11","45"
"2018-05-16","PDPOSTIPS-L2","6470"
"2018-05-23","PDPOSTIPS-G11","512"
"2018-05-23","PDPOSTIPS-G2","5219"
"2018-05-23","PDPOSTIPS-G6L11","2040"
"2018-05-23","PDPOSTIPS-L2","7110"
"2018-05-30","PDPOSTIPS-G11","618"
"2018-05-30","PDPOSTIPS-G2","5120"
"2018-05-30","PDPOSTIPS-G6L11","2188"
"2018-05-30","PDPOSTIPS-L2","7654"
"2018-06-06","PDPOSTIPS-G11","571"
"2018-06-06","PDPOSTIPS-G2","4623"
"2018-06-06","PDPOSTIPS-G6L11","1176"
"2018-06-06","PDPOSTIPS-L2","7924"
"2018-06-13","PDPOSTIPS-G11","690"
"2018-06-13","PDPOSTIPS-G2","5065"
"2018-06-13","PDPOSTIPS-G6L11","906"
"2018-06-13","PDPOSTIPS-L2","5697"
"2018-06-20","PDPOSTIPS-G11","580"
"2018-06-20","PDPOSTIPS-G2","4597"
"2018-06-20","PDPOSTIPS-G6L11","1117"
"2018-06-20","PDPOSTIPS-L2","6143"
"2018-06-27","PDPOSTIPS-G11","991"
"2018-06-27","PDPOSTIPS-G2","5061"
"2018-06-27","PDPOSTIPS-G6L11","1171"
"2018-06-27","PDPOSTIPS-L2","5144"
"2018-07-04","PDPOSTIPS-G11","477"
"2018-07-04","PDPOSTIPS-G2","4009"
"2018-07-04","PDPOSTIPS-G6L11","2015"
"2018-07-04","PDPOSTIPS-L2","5245"
"2018-07-11","PDPOSTIPS-G11","394"
"2018-07-11","PDPOSTIPS-G2","4509"
"2018-07-11","PDPOSTIPS-G6L11","2260"
"2018-07-11","PDPOSTIPS-L2","6115"
"2018-07-18","PDPOSTIPS-G11","356"
"2018-07-18","PDPOSTIPS-G2","4147"
"2018-07-18","PDPOSTIPS-G6L11","2583"
"2018-07-18","PDPOSTIPS-L2","5069"
"2018-07-25","PDPOSTIPS-G11","586"
"2018-07-25","PDPOSTIPS-G2","4642"
"2018-07-25","PDPOSTIPS-G6L11","3312"
"2018-07-25","PDPOSTIPS-L2","3871"
"2018-08-01","PDPOSTIPS-G11","348"
"2018-08-01","PDPOSTIPS-G2","3915"
"2018-08-01","PDPOSTIPS-G6L11","1618"
"2018-08-01","PDPOSTIPS-L2","7041"
"2018-08-08","PDPOSTIPS-G11","136"
"2018-08-08","PDPOSTIPS-G2","4476"
"2018-08-08","PDPOSTIPS-G6L11","1859"
"2018-08-08","PDPOSTIPS-L2","7674"
"2018-08-15","PDPOSTIPS-G11","2"
"2018-08-15","PDPOSTIPS-G2","5781"
"2018-08-15","PDPOSTIPS-G6L11","1245"
"2018-08-15","PDPOSTIPS-L2","5604"
"2018-08-22","PDPOSTIPS-G11","-124"
"2018-08-22","PDPOSTIPS-G2","6506"
"2018-08-22","PDPOSTIPS-G6L11","1397"
"2018-08-22","PDPOSTIPS-L2","5687"
"2018-08-29","PDPOSTIPS-G11","-90"
"2018-08-29","PDPOSTIPS-G2","6926"
"2018-08-29","PDPOSTIPS-G6L11","2210"
"2018-08-29","PDPOSTIPS-L2","5327"
"2018-09-05","PDPOSTIPS-G11","210"
"2018-09-05","PDPOSTIPS-G2","6617"
"2018-09-05","PDPOSTIPS-G6L11","1715"
"2018-09-05","PDPOSTIPS-L2","5328"
"2018-09-12","PDPOSTIPS-G11","355"
"2018-09-12","PDPOSTIPS-G2","4312"
"2018-09-12","PDPOSTIPS-G6L11","2283"
"2018-09-12","PDPOSTIPS-L2","5806"
"2018-09-19","PDPOSTIPS-G11","387"
"2018-09-19","PDPOSTIPS-G2","2332"
"2018-09-19","PDPOSTIPS-G6L11","2963"
"2018-09-19","PDPOSTIPS-L2","5991"
"2018-09-26","PDPOSTIPS-G11","140"
"2018-09-26","PDPOSTIPS-G2","1466"
"2018-09-26","PDPOSTIPS-G6L11","4143"
"2018-09-26","PDPOSTIPS-L2","6099"
"2018-10-03","PDPOSTIPS-G11","187"
"2018-10-03","PDPOSTIPS-G2","1137"
"2018-10-03","PDPOSTIPS-G6L11","4268"
"2018-10-03","PDPOSTIPS-L2","6292"
"2018-10-10","PDPOSTIPS-G11","178"
"2018-10-10","PDPOSTIPS-G2","2006"
"2018-10-10","PDPOSTIPS-G6L11","3288"
"2018-10-10","PDPOSTIPS-L2","6745"
"2018-10-17","PDPOSTIPS-G11","148"
"2018-10-17","PDPOSTIPS-G2","2307"
"2018-10-17","PDPOSTIPS-G6L11","2842"
"2018-10-17","PDPOSTIPS-L2","5877"
"2018-10-24","PDPOSTIPS-G11","962"
"2018-10-24","PDPOSTIPS-G2","2459"
"2018-10-24","PDPOSTIPS-G6L11","2668"
"2018-10-24","PDPOSTIPS-L2","6867"
"2018-10-31","PDPOSTIPS-G11","687"
"2018-10-31","PDPOSTIPS-G2","3393"
"2018-10-31","PDPOSTIPS-G6L11","3392"
"2018-10-31","PDPOSTIPS-L2","6506"
"2018-11-07","PDPOSTIPS-G11","356"
"2018-11-07","PDPOSTIPS-G2","1883"
"2018-11-07","PDPOSTIPS-G6L11","3124"
"2018-11-07","PDPOSTIPS-L2","6833"
"2018-11-14","PDPOSTIPS-G11","228"
"2018-11-14","PDPOSTIPS-G2","2338"
"2018-11-14","PDPOSTIPS-G6L11","3576"
"2018-11-14","PDPOSTIPS-L2","6238"
"2018-11-21","PDPOSTIPS-G11","80"
"2018-11-21","PDPOSTIPS-G2","2783"
"2018-11-21","PDPOSTIPS-G6L11","4391"
"2018-11-21","PDPOSTIPS-L2","5435"
"2018-11-28","PDPOSTIPS-G11","251"
"2018-11-28","PDPOSTIPS-G2","1723"
"2018-11-28","PDPOSTIPS-G6L11","4440"
"2018-11-28","PDPOSTIPS-L2","5504"
"2018-12-05","PDPOSTIPS-G11","123"
"2018-12-05","PDPOSTIPS-G2","1688"
"2018-12-05","PDPOSTIPS-G6L11","4849"
"2018-12-05","PDPOSTIPS-L2","5798"
"2018-12-12","PDPOSTIPS-G11","208"
"2018-12-12","PDPOSTIPS-G2","2770"
"2018-12-12","PDPOSTIPS-G6L11","4983"
"2018-12-12","PDPOSTIPS-L2","6782"
"2018-12-19","PDPOSTIPS-G11","74"
"2018-12-19","PDPOSTIPS-G2","2768"
"2018-12-19","PDPOSTIPS-G6L11","4985"
"2018-12-19","PDPOSTIPS-L2","5638"
"2018-12-26","PDPOSTIPS-G11","273"
"2018-12-26","PDPOSTIPS-G2","2484"
"2018-12-26","PDPOSTIPS-G6L11","5169"
"2018-12-26","PDPOSTIPS-L2","5198"
"2019-01-02","PDPOSTIPS-G11","371"
"2019-01-02","PDPOSTIPS-G2","2010"
"2019-01-02","PDPOSTIPS-G6L11","6011"
"2019-01-02","PDPOSTIPS-L2","5244"
"2019-01-09","PDPOSTIPS-G11","429"
"2019-01-09","PDPOSTIPS-G2","558"
"2019-01-09","PDPOSTIPS-G6L11","5853"
"2019-01-09","PDPOSTIPS-L2","3953"
"2019-01-16","PDPOSTIPS-G11","210"
"2019-01-16","PDPOSTIPS-G2","2469"
"2019-01-16","PDPOSTIPS-G6L11","4902"
"2019-01-16","PDPOSTIPS-L2","5712"
"2019-01-23","PDPOSTIPS-G11","295"
"2019-01-23","PDPOSTIPS-G2","2194"
"2019-01-23","PDPOSTIPS-G6L11","6083"
"2019-01-23","PDPOSTIPS-L2","4693"
"2019-01-30","PDPOSTIPS-G11","217"
"2019-01-30","PDPOSTIPS-G2","2356"
"2019-01-30","PDPOSTIPS-G6L11","5369"
"2019-01-30","PDPOSTIPS-L2","5057"
"2019-02-06","PDPOSTIPS-G11","684"
"2019-02-06","PDPOSTIPS-G2","3450"
"2019-02-06","PDPOSTIPS-G6L11","2708"
"2019-02-06","PDPOSTIPS-L2","7447"
"2019-02-13","PDPOSTIPS-G11","313"
"2019-02-13","PDPOSTIPS-G2","4202"
"2019-02-13","PDPOSTIPS-G6L11","2379"
"2019-02-13","PDPOSTIPS-L2","7464"
"2019-02-20","PDPOSTIPS-G11","438"
"2019-02-20","PDPOSTIPS-G2","4418"
"2019-02-20","PDPOSTIPS-G6L11","1166"
"2019-02-20","PDPOSTIPS-L2","7762"
"2019-02-27","PDPOSTIPS-G11","1442"
"2019-02-27","PDPOSTIPS-G2","4946"
"2019-02-27","PDPOSTIPS-G6L11","1641"
"2019-02-27","PDPOSTIPS-L2","7399"
"2019-03-06","PDPOSTIPS-G11","1198"
"2019-03-06","PDPOSTIPS-G2","4778"
"2019-03-06","PDPOSTIPS-G6L11","1360"
"2019-03-06","PDPOSTIPS-L2","6132"
"2019-03-13","PDPOSTIPS-G11","1242"
"2019-03-13","PDPOSTIPS-G2","4446"
"2019-03-13","PDPOSTIPS-G6L11","893"
"2019-03-13","PDPOSTIPS-L2","4250"
"2019-03-20","PDPOSTIPS-G11","951"
"2019-03-20","PDPOSTIPS-G2","5965"
"2019-03-20","PDPOSTIPS-G6L11","1942"
"2019-03-20","PDPOSTIPS-L2","3190"
"2019-03-27","PDPOSTIPS-G11","1865"
"2019-03-27","PDPOSTIPS-G2","8399"
"2019-03-27","PDPOSTIPS-G6L11","811"
"2019-03-27","PDPOSTIPS-L2","2903"
"2019-04-03","PDPOSTIPS-G11","1789"
"2019-04-03","PDPOSTIPS-G2","6764"
"2019-04-03","PDPOSTIPS-G6L11","915"
"2019-04-03","PDPOSTIPS-L2","2675"
"2019-04-10","PDPOSTIPS-G11","1717"
"2019-04-10","PDPOSTIPS-G2","6332"
"2019-04-10","PDPOSTIPS-G6L11","1174"
"2019-04-10","PDPOSTIPS-L2","2060"
"2019-04-17","PDPOSTIPS-G11","1541"
"2019-04-17","PDPOSTIPS-G2","3842"
"2019-04-17","PDPOSTIPS-G6L11","1905"
"2019-04-17","PDPOSTIPS-L2","2681"
"2019-04-24","PDPOSTIPS-G11","1270"
"2019-04-24","PDPOSTIPS-G2","5072"
"2019-04-24","PDPOSTIPS-G6L11","1586"
"2019-04-24","PDPOSTIPS-L2","2687"
"2019-05-01","PDPOSTIPS-G11","784"
"2019-05-01","PDPOSTIPS-G2","5547"
"2019-05-01","PDPOSTIPS-G6L11","385"
"2019-05-01","PDPOSTIPS-L2","6443"
"2019-05-08","PDPOSTIPS-G11","738"
"2019-05-08","PDPOSTIPS-G2","8132"
"2019-05-08","PDPOSTIPS-G6L11","-246"
"2019-05-08","PDPOSTIPS-L2","6241"
"2019-05-15","PDPOSTIPS-G11","767"
"2019-05-15","PDPOSTIPS-G2","6043"
"2019-05-15","PDPOSTIPS-G6L11","31"
"2019-05-15","PDPOSTIPS-L2","5260"
"2019-05-22","PDPOSTIPS-G11","612"
"2019-05-22","PDPOSTIPS-G2","6122"
"2019-05-22","PDPOSTIPS-G6L11","1480"
"2019-05-22","PDPOSTIPS-L2","4826"
"2019-05-29","PDPOSTIPS-G11","290"
"2019-05-29","PDPOSTIPS-G2","5804"
"2019-05-29","PDPOSTIPS-G6L11","2235"
"2019-05-29","PDPOSTIPS-L2","5452"
"2019-06-05","PDPOSTIPS-G11","708"
"2019-06-05","PDPOSTIPS-G2","5030"
"2019-06-05","PDPOSTIPS-G6L11","1375"
"2019-06-05","PDPOSTIPS-L2","6859"
"2019-06-12","PDPOSTIPS-G11","963"
"2019-06-12","PDPOSTIPS-G2","3574"
"2019-06-12","PDPOSTIPS-G6L11","1265"
"2019-06-12","PDPOSTIPS-L2","6400"
"2019-06-19","PDPOSTIPS-G11","668"
"2019-06-19","PDPOSTIPS-G2","3782"
"2019-06-19","PDPOSTIPS-G6L11","1711"
"2019-06-19","PDPOSTIPS-L2","7885"
"2019-06-26","PDPOSTIPS-G11","1041"
"2019-06-26","PDPOSTIPS-G2","5089"
"2019-06-26","PDPOSTIPS-G6L11","50"
"2019-06-26","PDPOSTIPS-L2","6411"
"2019-07-03","PDPOSTIPS-G11","1109"
"2019-07-03","PDPOSTIPS-G2","4290"
"2019-07-03","PDPOSTIPS-G6L11","345"
"2019-07-03","PDPOSTIPS-L2","7453"
"2019-07-10","PDPOSTIPS-G11","1092"
"2019-07-10","PDPOSTIPS-G2","3595"
"2019-07-10","PDPOSTIPS-G6L11","1310"
"2019-07-10","PDPOSTIPS-L2","8062"
"2019-07-17","PDPOSTIPS-G11","826"
"2019-07-17","PDPOSTIPS-G2","2234"
"2019-07-17","PDPOSTIPS-G6L11","1433"
"2019-07-17","PDPOSTIPS-L2","7935"
"2019-07-24","PDPOSTIPS-G11","716"
"2019-07-24","PDPOSTIPS-G2","3278"
"2019-07-24","PDPOSTIPS-G6L11","2572"
"2019-07-24","PDPOSTIPS-L2","7426"
"2019-07-31","PDPOSTIPS-G11","671"
"2019-07-31","PDPOSTIPS-G2","2715"
"2019-07-31","PDPOSTIPS-G6L11","394"
"2019-07-31","PDPOSTIPS-L2","11383"
"2019-08-07","PDPOSTIPS-G11","437"
"2019-08-07","PDPOSTIPS-G2","1052"
"2019-08-07","PDPOSTIPS-G6L11","2049"
"2019-08-07","PDPOSTIPS-L2","10151"
"2019-08-14","PDPOSTIPS-G11","392"
"2019-08-14","PDPOSTIPS-G2","-583"
"2019-08-14","PDPOSTIPS-G6L11","3203"
"2019-08-14","PDPOSTIPS-L2","10764"
"2019-08-21","PDPOSTIPS-G11","415"
"2019-08-21","PDPOSTIPS-G2","-827"
"2019-08-21","PDPOSTIPS-G6L11","2950"
"2019-08-21","PDPOSTIPS-L2","10219"
"2019-08-28","PDPOSTIPS-G11","700"
"2019-08-28","PDPOSTIPS-G2","519"
"2019-08-28","PDPOSTIPS-G6L11","2435"
"2019-08-28","PDPOSTIPS-L2","9975"
"2019-09-04","PDPOSTIPS-G11","772"
"2019-09-04","PDPOSTIPS-G2","-7"
"2019-09-04","PDPOSTIPS-G6L11","3570"
"2019-09-04","PDPOSTIPS-L2","9248"
"2019-09-11","PDPOSTIPS-G11","869"
"2019-09-11","PDPOSTIPS-G2","-970"
"2019-09-11","PDPOSTIPS-G6L11","2531"
"2019-09-11","PDPOSTIPS-L2","9186"
"2019-09-18","PDPOSTIPS-G11","699"
"2019-09-18","PDPOSTIPS-G2","880"
"2019-09-18","PDPOSTIPS-G6L11","2674"
"2019-09-18","PDPOSTIPS-L2","8636"
"2019-09-25","PDPOSTIPS-G11","648"
"2019-09-25","PDPOSTIPS-G2","-746"
"2019-09-25","PDPOSTIPS-G6L11","4669"
"2019-09-25","PDPOSTIPS-L2","7996"
"2019-10-02","PDPOSTIPS-G11","1121"
"2019-10-02","PDPOSTIPS-G2","2452"
"2019-10-02","PDPOSTIPS-G6L11","2460"
"2019-10-02","PDPOSTIPS-L2","8357"
"2019-10-09","PDPOSTIPS-G11","713"
"2019-10-09","PDPOSTIPS-G2","2680"
"2019-10-09","PDPOSTIPS-G6L11","2229"
"2019-10-09","PDPOSTIPS-L2","8807"
"2019-10-16","PDPOSTIPS-G11","564"
"2019-10-16","PDPOSTIPS-G2","1499"
"2019-10-16","PDPOSTIPS-G6L11","2721"
"2019-10-16","PDPOSTIPS-L2","9413"
"2019-10-23","PDPOSTIPS-G11","530"
"2019-10-23","PDPOSTIPS-G2","2792"
"2019-10-23","PDPOSTIPS-G6L11","2287"
"2019-10-23","PDPOSTIPS-L2","8812"
"2019-10-30","PDPOSTIPS-G11","482"
"2019-10-30","PDPOSTIPS-G2","3078"
"2019-10-30","PDPOSTIPS-G6L11","2280"
"2019-10-30","PDPOSTIPS-L2","8520"
"2019-11-06","PDPOSTIPS-G11","364"
"2019-11-06","PDPOSTIPS-G2","1611"
"2019-11-06","PDPOSTIPS-G6L11","2699"
"2019-11-06","PDPOSTIPS-L2","9210"
"2019-11-13","PDPOSTIPS-G11","424"
"2019-11-13","PDPOSTIPS-G2","670"
"2019-11-13","PDPOSTIPS-G6L11","2699"
"2019-11-13","PDPOSTIPS-L2","8797"
"2019-11-20","PDPOSTIPS-G11","314"
"2019-11-20","PDPOSTIPS-G2","1822"
"2019-11-20","PDPOSTIPS-G6L11","2512"
"2019-11-20","PDPOSTIPS-L2","8237"
"2019-11-27","PDPOSTIPS-G11","522"
"2019-11-27","PDPOSTIPS-G2","941"
"2019-11-27","PDPOSTIPS-G6L11","3423"
"2019-11-27","PDPOSTIPS-L2","6535"
"2019-12-04","PDPOSTIPS-G11","423"
"2019-12-04","PDPOSTIPS-G2","2740"
"2019-12-04","PDPOSTIPS-G6L11","2824"
"2019-12-04","PDPOSTIPS-L2","4701"
"2019-12-11","PDPOSTIPS-G11","449"
"2019-12-11","PDPOSTIPS-G2","681"
"2019-12-11","PDPOSTIPS-G6L11","3491"
"2019-12-11","PDPOSTIPS-L2","5618"
"2019-12-18","PDPOSTIPS-G11","460"
"2019-12-18","PDPOSTIPS-G2","173"
"2019-12-18","PDPOSTIPS-G6L11","3705"
"2019-12-18","PDPOSTIPS-L2","5678"
"2019-12-25","PDPOSTIPS-G11","544"
"2019-12-25","PDPOSTIPS-G2","1873"
"2019-12-25","PDPOSTIPS-G6L11","3324"
"2019-12-25","PDPOSTIPS-L2","5364"
"2020-01-01","PDPOSTIPS-G11","1328"
"2020-01-01","PDPOSTIPS-G2","2377"
"2020-01-01","PDPOSTIPS-G6L11","2828"
"2020-01-01","PDPOSTIPS-L2","5411"
"2020-01-08","PDPOSTIPS-G11","395"
"2020-01-08","PDPOSTIPS-G2","2931"
"2020-01-08","PDPOSTIPS-G6L11","5145"
"2020-01-08","PDPOSTIPS-L2","4346"
"2020-01-15","PDPOSTIPS-G11","306"
"2020-01-15","PDPOSTIPS-G2","781"
"2020-01-15","PDPOSTIPS-G6L11","6004"
"2020-01-15","PDPOSTIPS-L2","2972"
"2020-01-22","PDPOSTIPS-G11","334"
"2020-01-22","PDPOSTIPS-G2","451"
"2020-01-22","PDPOSTIPS-G6L11","5941"
"2020-01-22","PDPOSTIPS-L2","2572"
"2020-01-29","PDPOSTIPS-G11","121"
"2020-01-29","PDPOSTIPS-G2","1163"
"2020-01-29","PDPOSTIPS-G6L11","6917"
"2020-01-29","PDPOSTIPS-L2","4323"
"2020-02-05","PDPOSTIPS-G11","-372"
"2020-02-05","PDPOSTIPS-G2","337"
"2020-02-05","PDPOSTIPS-G6L11","4282"
"2020-02-05","PDPOSTIPS-L2","8270"
"2020-02-12","PDPOSTIPS-G11","-215"
"2020-02-12","PDPOSTIPS-G2","1218"
"2020-02-12","PDPOSTIPS-G6L11","3364"
"2020-02-12","PDPOSTIPS-L2","9559"
"2020-02-19","PDPOSTIPS-G11","-627"
"2020-02-19","PDPOSTIPS-G2","1688"
"2020-02-19","PDPOSTIPS-G6L11","4123"
"2020-02-19","PDPOSTIPS-L2","8916"
"2020-02-26","PDPOSTIPS-G11","-295"
"2020-02-26","PDPOSTIPS-G2","2826"
"2020-02-26","PDPOSTIPS-G6L11","5060"
"2020-02-26","PDPOSTIPS-L2","7756"
"2020-03-04","PDPOSTIPS-G11","-1146"
"2020-03-04","PDPOSTIPS-G2","3434"
"2020-03-04","PDPOSTIPS-G6L11","7082"
"2020-03-04","PDPOSTIPS-L2","8433"
"2020-03-11","PDPOSTIPS-G11","-774"
"2020-03-11","PDPOSTIPS-G2","4242"
"2020-03-11","PDPOSTIPS-G6L11","5411"
"2020-03-11","PDPOSTIPS-L2","6688"
"2020-03-18","PDPOSTIPS-G11","-520"
"2020-03-18","PDPOSTIPS-G2","2886"
"2020-03-18","PDPOSTIPS-G6L11","5526"
"2020-03-18","PDPOSTIPS-L2","7919"
"2020-03-25","PDPOSTIPS-G11","-233"
"2020-03-25","PDPOSTIPS-G2","1507"
"2020-03-25","PDPOSTIPS-G6L11","5513"
"2020-03-25","PDPOSTIPS-L2","7366"
"2020-04-01","PDPOSTIPS-G11","438"
"2020-04-01","PDPOSTIPS-G2","1135"
"2020-04-01","PDPOSTIPS-G6L11","2592"
"2020-04-01","PDPOSTIPS-L2","7356"
"2020-04-08","PDPOSTIPS-G11","273"
"2020-04-08","PDPOSTIPS-G2","1848"
"2020-04-08","PDPOSTIPS-G6L11","2745"
"2020-04-08","PDPOSTIPS-L2","8166"
"2020-04-15","PDPOSTIPS-G11","126"
"2020-04-15","PDPOSTIPS-G2","994"
"2020-04-15","PDPOSTIPS-G6L11","3129"
"2020-04-15","PDPOSTIPS-L2","6199"
